Gene	P1490_PCD_09122016-0	P1490_PCD_27082020-0	P3390_PCD_08032024-0	P3390_PCD_19082024-0	P3390_PCD_30092020-0	P4703_CF_16022007-0	P4703_CF_18022015-0	P4703_CF_XXXX2000-0	P6004_CF_19062007-0	P6004_CF_28052021-0	P6004_CF_30102015-0	NumAsm_WiGene	NumAsm_WiGene_DNASeq
group_6463	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6460	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6459	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6458	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6457	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6456	1	1	1	1	1	1	1	1	1	1	1	11	11
accC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6454	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6453	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6452	1	1	1	1	1	1	1	1	1	1	1	11	11
zapA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6448	1	1	1	1	1	1	1	1	1	1	1	11	11
yaiI	1	1	1	1	1	1	1	1	1	1	1	11	11
prkA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6445	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6444	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6443	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6442	1	1	1	1	1	1	1	1	1	1	1	11	11
vacB	1	1	1	1	1	1	1	1	1	1	1	11	11
hppD	1	1	1	1	1	1	1	1	1	1	1	11	11
menH	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6439	1	1	1	1	1	1	1	1	1	1	1	11	11
nrdR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6436	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6434	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6432	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6431	1	1	1	1	1	1	1	1	1	1	1	11	11
ywrD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6430	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6428	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6427	1	1	1	1	1	1	1	1	1	1	1	11	11
pmbA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6425	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6424	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6423	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6420	1	1	1	1	1	1	1	1	1	1	1	11	11
gltX	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6418	1	1	1	1	1	1	1	1	1	1	1	11	11
tctB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6417	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6416	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6415	1	1	1	1	1	1	1	1	1	1	1	11	11
yebE	1	1	1	1	1	1	1	1	1	1	1	11	11
entF	1	1	1	1	1	1	1	1	1	1	1	11	11
rnhA	1	1	1	1	1	1	1	1	1	1	1	11	11
nadC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6413	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6410	1	1	1	1	1	1	1	1	1	1	1	11	11
dnaQ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6406	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6403	1	1	1	1	1	1	1	1	1	1	1	11	11
spoVR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6401	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6392	1	1	1	1	1	1	1	1	1	1	1	11	11
moaB	1	1	1	1	1	1	1	1	1	1	1	11	11
ccoG~~~fixG	1	1	1	1	1	1	1	1	1	1	1	11	11
tadD~~~gspF	1	1	1	1	1	1	1	1	1	1	1	11	11
yifB	1	1	1	1	1	1	1	1	1	1	1	11	11
gmk	1	1	1	1	1	1	1	1	1	1	1	11	11
rsgA~~~htpX	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6385	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6384	1	1	1	1	1	1	1	1	1	1	1	11	11
gmd	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6378	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6376	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6375	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6362	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6356	1	1	1	1	1	1	1	1	1	1	1	11	11
emrA~~~hlyD	1	1	1	1	1	1	1	1	1	1	1	11	11
cusC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6353	1	1	1	1	1	1	1	1	1	1	1	11	11
aqpZ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6352	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6350	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6349	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6348	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6344	1	1	1	1	1	1	1	1	1	1	1	11	11
aspD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6340	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6339	1	1	1	1	1	1	1	1	1	1	1	11	11
kdsA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6338	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6337	1	1	1	1	1	1	1	1	1	1	1	11	11
add	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6335	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6334	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6333	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6332	1	1	1	1	1	1	1	1	1	1	1	11	11
linX~~~ucpA	1	1	1	1	1	1	1	1	1	1	1	11	11
ypfH	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6324	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6323	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6322	1	1	1	1	1	1	1	1	1	1	1	11	11
bacA	1	1	1	1	1	1	1	1	1	1	1	11	11
tam	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6320	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6319	1	1	1	1	1	1	1	1	1	1	1	11	11
metQ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6318	1	1	1	1	1	1	1	1	1	1	1	11	11
lysR~~~gbpR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6315	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6314	1	1	1	1	1	1	1	1	1	1	1	11	11
dmpA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6313	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6312	1	1	1	1	1	1	1	1	1	1	1	11	11
xth	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6311	1	1	1	1	1	1	1	1	1	1	1	11	11
lysP	1	1	1	1	1	1	1	1	1	1	1	11	11
imuA	1	1	1	1	1	1	1	1	1	1	1	11	11
umuC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6310	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6309	1	1	1	1	1	1	1	1	1	1	1	11	11
ybaN	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6298	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6297	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6296	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6295	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6294	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6291	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6290	1	1	1	1	1	1	1	1	1	1	1	11	11
rocF	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6275	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6274	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6273	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6270	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6269	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6268	1	1	1	1	1	1	1	1	1	1	1	11	11
kynU	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6261	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6259	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6254	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6253	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6251	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6250	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6249	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6248	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6247	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6246	1	1	1	1	1	1	1	1	1	1	1	11	11
benM~~~argP	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6242	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6241	1	1	1	1	1	1	1	1	1	1	1	11	11
thiM	1	1	1	1	1	1	1	1	1	1	1	11	11
ogt	1	1	1	1	1	1	1	1	1	1	1	11	11
ansP	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6234	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6233	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6227	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6226	1	1	1	1	1	1	1	1	1	1	1	11	11
fiu~~~cntO	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6225	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6224	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6218	1	1	1	1	1	1	1	1	1	1	1	11	11
mutS	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6216	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6215	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6214	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6213	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6212	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6210	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6204	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6203	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6202	1	1	1	1	1	1	1	1	1	1	1	11	11
mfd	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6197	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6196	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6195	1	1	1	1	1	1	1	1	1	1	1	11	11
ribC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6187	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6186	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6185	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6184	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6183	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6182	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6181	1	1	1	1	1	1	1	1	1	1	1	11	11
hrpA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6178	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6177	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6176	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6175	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6172	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6169	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6163	1	1	1	1	1	1	1	1	1	1	1	11	11
yuxK	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6159	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6158	1	1	1	1	1	1	1	1	1	1	1	11	11
hxlR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6157	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6156	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6155	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6153	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6152	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6151	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6150	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6149	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6148	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6147	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6146	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6145	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6144	1	1	1	1	1	1	1	1	1	1	1	11	11
nsrR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6143	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6142	1	1	1	1	1	1	1	1	1	1	1	11	11
hmpA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6139	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6138	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6137	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6134	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6133	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6132	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6128	1	1	1	1	1	1	1	1	1	1	1	11	11
acrR~~~tetR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6127	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6126	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6122	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6121	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6120	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6115	1	1	1	1	1	1	1	1	1	1	1	11	11
citB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6114	1	1	1	1	1	1	1	1	1	1	1	11	11
oprM~~~ttgI	1	1	1	1	1	1	1	1	1	1	1	11	11
piuB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6113	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6112	1	1	1	1	1	1	1	1	1	1	1	11	11
oprZ	1	1	1	1	1	1	1	1	1	1	1	11	11
axyY	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6106	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6105	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6104	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6103	1	1	1	1	1	1	1	1	1	1	1	11	11
speE	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6097	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6096	1	1	1	1	1	1	1	1	1	1	1	11	11
wcaI	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6095	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6093	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6092	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6091	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6090	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6089	1	1	1	1	1	1	1	1	1	1	1	11	11
ehuB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6088	1	1	1	1	1	1	1	1	1	1	1	11	11
axyX	1	1	1	1	1	1	1	1	1	1	1	11	11
axyZ	1	1	1	1	1	1	1	1	1	1	1	11	11
gshA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6079	1	1	1	1	1	1	1	1	1	1	1	11	11
phzF	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6077	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6076	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6072	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6071	1	1	1	1	1	1	1	1	1	1	1	11	11
wbbJ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6070	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6069	1	1	1	1	1	1	1	1	1	1	1	11	11
yafJ	1	1	1	1	1	1	1	1	1	1	1	11	11
betT	1	1	1	1	1	1	1	1	1	1	1	11	11
cmpB	1	1	1	1	1	1	1	1	1	1	1	11	11
aCH1	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6064	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6063	1	1	1	1	1	1	1	1	1	1	1	11	11
merR~~~cbpM	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6062	1	1	1	1	1	1	1	1	1	1	1	11	11
ehuC	1	1	1	1	1	1	1	1	1	1	1	11	11
ehuD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6061	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6060	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6056	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6055	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6052	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6051	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6050	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6049	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6046	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6041	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6038	1	1	1	1	1	1	1	1	1	1	1	11	11
zapD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6036	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6035	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6034	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6033	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6030	1	1	1	1	1	1	1	1	1	1	1	11	11
yjhB	1	1	1	1	1	1	1	1	1	1	1	11	11
atu1564	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6024	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6022	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6021	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6020	1	1	1	1	1	1	1	1	1	1	1	11	11
phnN	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6019	1	1	1	1	1	1	1	1	1	1	1	11	11
araC~~~rhaS	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6018	1	1	1	1	1	1	1	1	1	1	1	11	11
ttgR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6015	1	1	1	1	1	1	1	1	1	1	1	11	11
cntO~~~yncD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6013	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6011	1	1	1	1	1	1	1	1	1	1	1	11	11
pgaC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6008	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6005	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6004	1	1	1	1	1	1	1	1	1	1	1	11	11
ehuA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6003	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6002	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6001	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5998	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5997	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5996	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5995	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5994	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5993	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5992	1	1	1	1	1	1	1	1	1	1	1	11	11
ggt~~~ywrD	1	1	1	1	1	1	1	1	1	1	1	11	11
yegS	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5989	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5988	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5987	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5984	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5983	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5977	1	1	1	1	1	1	1	1	1	1	1	11	11
aes	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5974	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5973	1	1	1	1	1	1	1	1	1	1	1	11	11
coaE	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5971	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5967	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5966	1	1	1	1	1	1	1	1	1	1	1	11	11
murR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5965	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5964	1	1	1	1	1	1	1	1	1	1	1	11	11
menE	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5957	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5956	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5955	1	1	1	1	1	1	1	1	1	1	1	11	11
selD	1	1	1	1	1	1	1	1	1	1	1	11	11
ybjG	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5950	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5949	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5948	1	1	1	1	1	1	1	1	1	1	1	11	11
rlmD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5946	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5945	1	1	1	1	1	1	1	1	1	1	1	11	11
argJ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_5944	1	1	1	1	1	1	1	1	1	1	1	11	11
